omega_bar_rad_s,nu_bar_Hz,n0_TF_m3,k3_rate_per_s
188.49555921538757,29.999999999999996,9.832521093746636e19,0.8898626423282566
342.719198573432,54.54545454545455,2.0147894095408035e20,3.736392744544315
496.94283793147633,79.09090909090908,3.146815365197424e20,9.114560362172279
651.1664772895207,103.63636363636363,4.3524519020481964e20,17.43657420521097
805.3901166475652,128.1818181818182,5.6170862709286044e20,29.041255623876875
959.6137560056095,152.72727272727272,6.931373426170273e20,44.22132949382541
1113.837395363654,177.27272727272728,8.288762436879543e20,63.23719334857399
1268.0610347216982,201.8181818181818,9.684377906562668e20,86.32501407688846
1422.2846740797427,226.36363636363635,1.1114434618980541e21,113.70196027424171
1576.5083134377871,250.9090909090909,1.2575899481062727e21,145.56981032178257
1730.7319527958314,275.45454545454544,1.4066281781397957e21,182.11756190430296
1884.9555921538758,300.0,1.5583495746209346e21,223.52338971716108
